L	0.0250	2.7538	1477010443300000	-0.0118	2.9997	-0.0785	0.9969
L	-0.0911	3.5955	1477010444100000	-0.1797	3.7797	-0.3239	0.9461
L	-0.3635	4.6083	1477010444900000	-0.5364	4.4935	-0.5490	0.8358
L	-0.9411	5.1432	1477010445700000	-1.0593	5.0961	-0.7396	0.6730
L	-1.7169	5.4853	1477010446500000	-1.7157	5.5498	-0.8838	0.4679
L	-2.3634	5.8372	1477010447300000	-2.4643	5.8259	-0.9724	0.2334
L	-3.2312	6.0329	1477010448100000	-3.2580	5.9073	-0.9999	-0.0157
L	-3.8877	5.6644	1477010448900000	-4.0471	5.7886	-0.9646	-0.2639
L	-4.9797	5.6788	1477010449700000	-4.7818	5.4775	-0.8686	-0.4955
L	-5.3465	5.0185	1477010450500000	-5.4161	4.9934	-0.7181	-0.6959
L	-5.8193	4.2636	1477010451300000	-5.9101	4.3668	-0.5225	-0.8526
L	-5.9912	3.6727	1477010452100000	-6.2327	3.6371	-0.2941	-0.9558
L	-6.4040	2.8939	1477010452900000	-6.3637	2.8500	-0.0471	-0.9989
L	-6.2166	1.7658	1477010453700000	-6.2949	2.0550	0.2028	-0.9792
L	-5.8822	1.2529	1477010454500000	-6.0305	1.3022	0.4399	-0.8980
L	-5.2836	0.6966	1477010455300000	-5.5872	0.6388	0.6494	-0.7604
L	-4.8794	0.0823	1477010456100000	-4.9928	0.1064	0.8181	-0.5750
L	-4.4035	-0.2505	1477010456900000	-4.2848	-0.2614	0.9354	-0.3535
L	-3.4675	-0.5837	1477010457700000	-3.5075	-0.4416	0.9940	-0.1098
L	-2.4826	-0.4279	1477010458500000	-2.7098	-0.4228	0.9900	0.1409
L	-1.8655	-0.3713	1477010459300000	-1.9419	-0.2062	0.9239	0.3827
L	-1.4804	0.2286	1477010460100000	-1.2519	0.1946	0.7997	0.6004
L	-0.3116	0.9001	1477010460900000	-0.6833	0.7543	0.6253	0.7804
L	-0.2674	1.2514	1477010461700000	-0.2717	1.4379	0.4115	0.9114
L	-0.0112	2.1661	1477010462500000	-0.0431	2.2024	0.1720	0.9851
L	-0.0651	3.1635	1477010463300000	0.0039	2.9999	0.0471	0.9989
L	0.4895	3.6725	1477010464100000	0.1473	3.7848	0.2941	0.9558
L	0.4631	4.5493	1477010464900000	0.4813	4.5094	0.5225	0.8526
L	0.8791	5.0414	1477010465700000	0.9851	5.1282	0.7181	0.6959
L	1.4977	5.8111	1477010466500000	1.6269	5.6023	0.8686	0.4954
L	2.5077	6.1104	1477010467300000	2.3664	5.9018	0.9646	0.2638
L	3.4124	5.8861	1477010468100000	3.1572	6.0080	0.9999	0.0157
L	4.0524	5.9592	1477010468900000	3.9496	5.9142	0.9724	-0.2335
L	4.5264	5.5932	1477010469700000	4.6938	5.6263	0.8838	-0.4680
L	5.2550	5.2106	1477010470500000	5.3430	5.1624	0.7396	-0.6730
L	5.9038	4.4756	1477010471300000	5.8564	4.5516	0.5490	-0.8358
L	6.2466	3.9224	1477010472100000	6.2018	3.8324	0.3239	-0.9461
L	6.3911	3.0795	1477010472900000	6.3574	3.0498	0.0784	-0.9969
L	6.3160	2.2232	1477010473700000	6.3136	2.2531	-0.1719	-0.9851
L	6.3129	1.2058	1477010474500000	6.0730	1.4923	-0.4115	-0.9114
L	5.9377	0.9247	1477010475300000	5.6507	0.8153	-0.6253	-0.7804
L	5.1238	0.1371	1477010476100000	5.0734	0.2645	-0.7997	-0.6004
L	4.3727	0.2125	1477010476900000	4.3772	-0.1253	-0.9239	-0.3827
L	3.6041	-0.3355	1477010477700000	3.6060	-0.3298	-0.9900	-0.1409
L	2.7208	-0.1155	1477010478500000	2.8081	-0.3361	-0.9940	0.1097
L	2.4279	-0.1851	1477010479300000	2.0337	-0.1437	-0.9354	0.3535
L	1.2233	0.3899	1477010480100000	1.3315	0.2352	-0.8181	0.5750
L	0.5430	0.8460	1477010480900000	0.7456	0.7768	-0.6494	0.7604
L	0.5282	1.1769	1477010481700000	0.3128	1.4471	-0.4399	0.8980
L	0.0413	2.1761	1477010482500000	0.0603	2.2040	-0.2028	0.9792
